month,FCNTX_ret,AGTHX_ret,SPY_ret,Date,ACTIVE_EW_ret,Mkt_RF,SMB,HML,RMW,CMA,RF,MOM,FCNTX_excess,AGTHX_excess,SPY_excess,ACTIVE_EW_excess
2022-02,-0.0488937809576224,-0.0364817278030913,-0.029516934096613,2022-02-28,-0.04268775438035685,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,0.0166,-0.0488937809576224,-0.0364817278030913,-0.029516934096613,-0.04268775438035685
2022-03,0.0327824584143443,0.0296387832300755,0.0375556091508471,2022-03-31,0.0312106208222099,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.0294,0.0327824584143443,0.0296387832300755,0.0375556091508471,0.0312106208222099
2022-04,-0.1155676410605031,-0.1201203832376326,-0.0877691192841689,2022-04-30,-0.11784401214906785,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,0.05,-0.1155676410605031,-0.1201203832376326,-0.0877691192841689,-0.11784401214906785
2022-05,-0.0128641535251835,-0.0208978381945972,0.0022572514490617,2022-05-31,-0.01688099585989035,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,0.0254,-0.0131641535251835,-0.021197838194597203,0.0019572514490617003,-0.01718099585989035
2022-06,-0.0877913543484957,-0.0942971822957442,-0.0824692110571914,2022-06-30,-0.09104426832211995,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,0.0109,-0.08839135434849571,-0.0948971822957442,-0.08306921105719141,-0.09164426832211996
2022-07,0.0909781629896442,0.101798533908906,0.0920875642408458,2022-07-31,0.0963883484492751,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,-0.0436,0.0901781629896442,0.10099853390890601,0.0912875642408458,0.0955883484492751
2022-08,-0.0399803967087105,-0.0340124767719669,-0.0408020607883657,2022-08-31,-0.0369964367403387,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,0.0185,-0.0418803967087105,-0.0359124767719669,-0.0427020607883657,-0.0388964367403387
2022-09,-0.0818309644715511,-0.0858438390986225,-0.0924163152135807,2022-09-30,-0.08383740178508681,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,0.0366999999999999,-0.0837309644715511,-0.0877438390986225,-0.09431631521358069,-0.0857374017850868
2022-10,0.0469079204057745,0.0454628416825921,0.0812754236258987,2022-10-31,0.0461853810441833,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.039,0.04460792040577451,0.0431628416825921,0.0789754236258987,0.0438853810441833
2022-11,0.0522785081385273,0.0453856936735248,0.0555916244507237,2022-11-30,0.04883210090602605,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,-0.017,0.0493785081385273,0.0424856936735248,0.0526916244507237,0.04593210090602605
