month_id,date,asset_id,asset_name,security,px_last,ret
2023-12,2023-12-29,allianz,安聯台灣智慧,AGCVBED TT Equity,107.87,3.442654392
2024-01,2024-01-31,allianz,安聯台灣智慧,AGCVBED TT Equity,115.95,7.4904978215
2024-02,2024-02-29,allianz,安聯台灣智慧,AGCVBED TT Equity,123.39,6.4165588616
2024-03,2024-03-29,allianz,安聯台灣智慧,AGCVBED TT Equity,124.21,0.6645595267
2024-04,2024-04-30,allianz,安聯台灣智慧,AGCVBED TT Equity,123.45,-0.6118669994
2024-05,2024-05-31,allianz,安聯台灣智慧,AGCVBED TT Equity,125.8,1.9036046983
2024-06,2024-06-28,allianz,安聯台灣智慧,AGCVBED TT Equity,139.91,11.2162162162
2024-07,2024-07-31,allianz,安聯台灣智慧,AGCVBED TT Equity,128.91,-7.8621971267
2024-08,2024-08-30,allianz,安聯台灣智慧,AGCVBED TT Equity,135.92,5.4379024125
2024-09,2024-09-30,allianz,安聯台灣智慧,AGCVBED TT Equity,130.37,-4.0832842849
2024-10,2024-10-30,allianz,安聯台灣智慧,AGCVBED TT Equity,136.91,5.0164915241
2024-11,2024-11-29,allianz,安聯台灣智慧,AGCVBED TT Equity,134.43,-1.8114089548
2024-12,2024-12-31,allianz,安聯台灣智慧,AGCVBED TT Equity,142.31,5.8617868035
2025-01,2025-01-22,allianz,安聯台灣智慧,AGCVBED TT Equity,141.33,-0.6886374816
2025-02,2025-02-27,allianz,安聯台灣智慧,AGCVBED TT Equity,135.79,-3.9199037713
2025-03,2025-03-31,allianz,安聯台灣智慧,AGCVBED TT Equity,116.78,-13.9995581412
2025-04,2025-04-30,allianz,安聯台灣智慧,AGCVBED TT Equity,107.82,-7.672546669
2025-05,2025-05-29,allianz,安聯台灣智慧,AGCVBED TT Equity,120.72,11.9643850863
2025-06,2025-06-30,allianz,安聯台灣智慧,AGCVBED TT Equity,130.55,8.1428098078
2025-07,2025-07-31,allianz,安聯台灣智慧,AGCVBED TT Equity,143.83,10.1723477595
2025-08,2025-08-29,allianz,安聯台灣智慧,AGCVBED TT Equity,167.98,16.7906556351
2025-09,2025-09-30,allianz,安聯台灣智慧,AGCVBED TT Equity,170.66,1.5954280271
2025-10,2025-10-31,allianz,安聯台灣智慧,AGCVBED TT Equity,195.7,14.6724481425
2025-11,2025-11-28,allianz,安聯台灣智慧,AGCVBED TT Equity,202.07,3.2549821155
2025-12,2025-12-31,allianz,安聯台灣智慧,AGCVBED TT Equity,219.75,8.7494432622
