month_id,factor_code,factor_name,RF_ANN,RF,MKT_RF,SMB,HML_BM,EP,DY,MOM,ret_allianz,ret_jko,ret_0050,excess_allianz,excess_jko,excess_0050
2024-10,Z9999,上市＋上櫃,1.7,0.1416666667,2.1925,-2.4099,-2.3326,1.0181,-3.1593,3.2792,5.0164915241,5.1990097124,4.2674639848,4.8748248575,5.0573430458,4.1257973181
2024-11,Z9999,上市＋上櫃,1.7,0.1416666667,-2.6018,-0.0989,0.9103,0.9789,2.6336,0.351,-1.8114089548,-0.3258508327,-2.3722627737,-1.9530756215,-0.4675174994,-2.5139294404
2024-12,Z9999,上市＋上櫃,1.7,0.1416666667,3.1705,-2.5394,-5.5855,0.5621,-3.3874,5.2321,5.8617868035,7.1558300036,4.5393858478,5.7201201369,7.014163337,4.3977191811
2025-01,Z9999,上市＋上櫃,1.7,0.1416666667,1.7037,-2.8959,-2.5409,0.9531,-1.0088,0.7766,-0.6886374816,-0.6949152542,2.8352490421,-0.8303041482,-0.8365819209,2.6935823755
2025-02,Z9999,上市＋上櫃,1.7,0.1416666667,-1.8267,5.9681,4.0049,0.4834,5.0965,-5.4434,-3.9199037713,-7.1513910224,-4.3715846995,-4.061570438,-7.293057689,-4.5132513661
2025-03,Z9999,上市＋上櫃,1.7,0.1416666667,-10.1926,0.4644,1.7343,3.642,6.7454,0.4131,-13.9995581412,-17.2426470588,-10.2597402597,-14.1412248079,-17.3843137255,-10.4014069264
2025-04,Z9999,上市＋上櫃,1.7,0.1416666667,-2.47,-2.1057,-2.6328,1.5009,-0.1909,0.944,-7.672546669,-0.9107063527,-2.4023154848,-7.8142133356,-1.0523730194,-2.5439821515
2025-05,Z9999,上市＋上櫃,1.7,0.1416666667,5.1681,-1.8959,-1.8105,-1.621,-1.7729,-1.729,11.9643850863,16.1398789509,6.6132858837,11.8227184196,15.9982122842,6.4716192171
2025-06,Z9999,上市＋上櫃,1.7,0.1416666667,4.7724,-4.3357,-3.7064,0.4106,-3.9138,3.9401,8.1428098078,9.5348388342,7.6161335188,8.0011431412,9.3931721675,7.4744668521
2025-07,Z9999,上市＋上櫃,1.7,0.1416666667,6.3812,-4.7884,-2.6821,-5.839,-6.0877,-1.5064,10.1723477595,8.9162995595,6.5963606286,10.0306810928,8.7746328928,6.454693962
2025-08,Z9999,上市＋上櫃,1.7,0.1416666667,3.5333,3.4847,-2.1825,-7.0613,-2.6709,-1.5949,16.7906556351,16.9066494095,1.842870999,16.6489889685,16.7649827428,1.7012043324
2025-09,Z9999,上市＋上櫃,1.7,0.1416666667,6.3356,-5.5726,-1.6785,-0.1989,-2.7547,0.1097,1.5954280271,7.8189869914,10.0952380952,1.4537613605,7.6773203248,9.9535714286
2025-10,Z9999,上市＋上櫃,1.7,0.1416666667,8.6172,-7.9763,-3.3941,-1.6119,-5.4367,4.8938,14.6724481425,15.7617764087,12.0242214533,14.5307814758,15.620109742,11.8825547866
2025-11,Z9999,上市＋上櫃,1.7,0.1416666667,-2.1469,-0.1075,4.3269,-1.4222,0.7052,-1.3636,3.2549821155,5.2666592749,-3.7065637066,3.1133154488,5.1249926082,-3.8482303732
2025-12,Z9999,上市＋上櫃,1.7,0.1416666667,4.8875,0.3896,-0.9368,-1.7878,-3.025,4.8496,8.7494432622,7.8049294291,5.2125100241,8.6077765956,7.6632627624,5.0708433574
