variable,coef,std_err,t_value,p_value,asset,model,r_squared,adj_r_squared,n_obs
Mkt_RF,1.0575676723345948,0.03951155986975931,26.76603191118299,5.7640150457274885e-34,ACTIVE_EW,CAPM,0.9263014070182826,0.9250084492466735,59
const,0.0011088510002415753,0.0013219257557925126,0.8388148845596884,0.40527116494015153,ACTIVE_EW,Carhart4,0.9657222476502177,0.9631831548835672,59
Mkt_RF,1.0381165299039194,0.029756223545677613,34.887375016199464,1.0100152700124391e-38,ACTIVE_EW,Carhart4,0.9657222476502177,0.9631831548835672,59
SMB,-0.09001360356472604,0.04824009733945292,-1.8659498742575893,0.06748360548648223,ACTIVE_EW,Carhart4,0.9657222476502177,0.9631831548835672,59
HML,-0.20183344162138786,0.03135589063604525,-6.436858833452164,3.373366661572823e-08,ACTIVE_EW,Carhart4,0.9657222476502177,0.9631831548835672,59
MOM,0.0003180268495324228,0.037211459041636606,0.00854647621251767,0.9932124778931103,ACTIVE_EW,Carhart4,0.9657222476502177,0.9631831548835672,59
const,0.000976849889410103,0.0012950023158505757,0.7543228899698873,0.4539939755892386,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
Mkt_RF,1.0377660343046857,0.02814700250136869,36.869504461593124,1.842918267423165e-39,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
SMB,-0.14490655576576214,0.04927069970237715,-2.9410289815464274,0.004840639905153852,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
HML,-0.13974133160422542,0.04466359372999931,-3.1287525237890788,0.002852024920455467,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
RMW,-0.09077355031712814,0.05002088843031867,-1.8147128762732743,0.07522897714080864,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
CMA,-0.07904421554686379,0.06003655030834397,-1.3166015559004913,0.1936373600461922,ACTIVE_EW,FF5,0.9690188514624313,0.9660961016003965,59
const,0.0011134662983442814,0.0012946752319774497,0.8600352202950581,0.3937175106795677,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
Mkt_RF,1.030198994124666,0.028731417470422987,35.856184094821806,2.4053771462971766e-38,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
SMB,-0.14456301655378032,0.049068276287718565,-2.946160482714234,0.004805213169684734,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
HML,-0.09818266784985501,0.05637194647431081,-1.7416937677431044,0.08747512212831611,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
RMW,-0.12377878045696032,0.056903196786804264,-2.17525178630499,0.03418053045206421,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
CMA,-0.051008724369730175,0.06419137642232016,-0.7946351552604158,0.4304376679328537,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
LT_Rev,-0.0788064619867932,0.06567188519132688,-1.2000030417461043,0.2355769107703871,ACTIVE_EW,FF5_LTRev,0.9698536769483648,0.9663752550577914,59
